State (Emission order)	H3K9me3	H3K27me3	H3K9me2	H3K27ac	ATAC	H3K4me1	H3K36me3
1	0.36994922682806763	0.013617244515231145	0.019042360162245996	1.5938213444220865E-4	5.964559788805844E-4	1.496624279348615E-4	0.004664700608472347
2	0.0026784040775896926	7.660629599114273E-4	0.017671452924177117	4.2881680567694996E-4	0.0034083443183204293	0.0010670277174838518	0.0027381527902910338
3	0.014179703711984284	0.17198232830775642	0.03760857144523172	1.7915465436073506E-4	0.007763893105788277	6.426232019998341E-4	1.2696528614857135E-5
4	0.031700294615044596	0.8504376154658966	0.03904932048026133	8.506558742798694E-5	0.00486422433210056	9.156809519765951E-4	6.0278348365585525E-5
5	0.050079933227613234	0.7734531962954	0.05554030409588302	0.4628386721444513	0.597463751880745	0.6998503790877311	0.007521081230850523
6	3.161984953759758E-4	2.4646165910773444E-4	0.009164831119946518	0.0964247541597898	0.21133757331636213	0.6756435037236416	0.007650163660616885
7	8.022477861578667E-4	4.757725752389568E-4	0.030664927624717793	0.931790204020122	0.5680849063232136	0.7603340473533047	0.007889812557051875
8	0.004240746251728518	5.622022687645006E-4	0.06998002533803084	0.3782601683818359	0.015629368537064193	0.037962309894757636	0.01677764237509636
9	0.0036459037997002555	1.2676493572568934E-6	0.03899871403570485	0.5594896122086619	0.1264765661597886	0.513483792285239	0.8294263657152406
10	0.03860415971186423	8.094053536944299E-5	0.02227257165742997	0.007730556270830985	0.004242525789001148	0.006260252363110296	0.783313359948837
