State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.42339	0.41640	0.41227	0.40751	0.39735	0.38686	0.37448	0.36241	0.34653	0.33731	0.33033	0.33160	0.33795	0.34144	0.34303	0.35097	0.35161	0.35256	0.35256	0.35701	0.36272
2	0.67783	0.64993	0.61240	0.56969	0.51495	0.45404	0.39328	0.34142	0.30742	0.28648	0.27937	0.28087	0.28917	0.29951	0.31537	0.33511	0.36007	0.38632	0.41451	0.44086	0.46617
3	0.98208	0.96670	0.94229	0.93008	0.89843	0.85728	0.80800	0.75871	0.70988	0.68140	0.66557	0.66783	0.67461	0.69858	0.71214	0.73701	0.76866	0.80122	0.82021	0.84101	0.86045
4	1.72120	1.73179	1.73815	1.70284	1.68165	1.62585	1.54534	1.42880	1.29461	1.18796	1.09614	1.09544	1.16042	1.26283	1.39349	1.50437	1.59972	1.67105	1.72049	1.73109	1.72332
5	4.65955	5.22779	6.20191	7.56568	9.07557	11.73817	14.38454	17.84267	21.33328	23.65493	26.25259	26.70718	26.13894	24.27188	20.97610	17.58291	14.23842	11.28358	9.04310	7.67933	6.18568
6	2.36332	2.49046	2.56617	2.58266	2.59625	2.52831	2.30023	1.92948	1.58105	1.32191	0.97347	0.81236	0.86089	1.12488	1.75866	2.67681	3.63572	4.28600	4.52185	4.54126	4.36365
7	3.79910	4.36891	5.07097	6.09197	7.39302	8.98286	11.04139	13.29926	15.30723	16.56938	17.18101	17.12559	16.61411	15.77787	14.51085	12.70514	10.54742	8.58516	6.94475	5.62037	4.66160
8	3.64005	3.72871	3.95921	4.04369	4.03535	3.93000	3.53471	2.81087	1.93684	1.42160	1.28914	1.36737	1.50087	1.66671	1.80230	1.92641	2.07034	2.25078	2.38429	2.46460	2.49380
9	3.95835	3.78327	3.41945	2.97902	2.57416	2.26504	1.98054	1.79726	1.65501	1.55653	1.55653	1.67963	1.81641	2.06808	2.48115	3.40577	4.82826	6.32734	7.90302	9.25439	10.03129
10	0.67364	0.60454	0.54998	0.50149	0.47886	0.44370	0.41218	0.39723	0.39764	0.40572	0.41663	0.43158	0.44734	0.46148	0.47482	0.48654	0.51483	0.55726	0.63767	0.73870	0.89630
