output_prefix	name	motif_id	cluster	total_tfbs	uninf_mean_score	uninf_bound	red_mean_score	red_bound	gfp_mean_score	gfp_bound	uninf_red_change	uninf_red_pvalue	uninf_gfp_change	uninf_gfp_pvalue	red_gfp_change	red_gfp_pvalue
ZNF143_MA0088.2	ZNF143	MA0088.2	C_ZNF143	22514	0.25332	3870	0.24867	3862	0.24405	3714	-0.01723	2.09032E-44	0.08238	6.62351E-106	0.06785	5.53319E-101
USF1_MA0093.2	USF1	MA0093.2	C_USF2	21900	0.26668	4330	0.26651	4395	0.26001	4099	-0.01334	3.91919E-35	0.13098	1.18744E-127	0.09658	1.39820E-114
Foxd3_MA0041.1	Foxd3	MA0041.1	C_Foxd3	57412	0.14179	3888	0.12888	3400	0.13673	3311	0.22382	1.07749E-162	0.11672	2.21567E-140	-0.13643	1.28309E-146
RELB_MA1117.1	RELB	MA1117.1	C_RELB	21266	0.23465	3657	0.23449	3697	0.23723	3655	-0.01898	2.26915E-40	-0.01676	2.54954E-41	0.00408	1.70339E-09
HNF1A_MA0046.2	HNF1A	MA0046.2	C_HNF1A	21628	0.14655	1594	0.13679	1543	0.14101	1380	0.19313	8.35050E-146	0.10736	1.60183E-120	-0.11362	2.28471E-123
NFATC1_MA0624.1	NFATC1	MA0624.1	C_NFAT5	30779	0.1756	3284	0.16783	3146	0.17016	2962	0.12411	8.19001E-130	0.11491	1.64459E-125	-0.04462	6.18648E-87
PKNOX1_MA0782.1	PKNOX1	MA0782.1	C_PKNOX1	19158	0.1904	2366	0.19322	2439	0.18525	2175	-0.03652	2.68432E-74	0.09487	1.44212E-111	0.09486	1.45748E-111
Gfi1_MA0038.1	Gfi1	MA0038.1	C_Gfi1	28048	0.21595	3799	0.20994	3773	0.20618	3472	0.07642	2.90173E-107	0.14425	2.42685E-140	0.01995	9.59283E-53
Ar_MA0007.3	Ar	MA0007.3	C_Ar	10117	0.21567	1525	0.21687	1546	0.21389	1459	-0.03237	1.74583E-55	0.04289	1.27745E-65	0.05648	4.09563E-77
FOXF2_MA0030.1	FOXF2	MA0030.1	C_FOXF2	23763	0.16973	2371	0.1614	2280	0.16294	2062	0.14594	4.67301E-135	0.13724	2.06500E-132	-0.0489	3.07723E-86
HLF_MA0043.2	HLF	MA0043.2	C_HLF	10128	0.20777	1339	0.20311	1376	0.19668	1203	0.13056	8.48439E-110	0.23082	1.98701E-132	0.02955	5.49625E-49
Mecom_MA0029.1	Mecom	MA0029.1	C_Mecom	23582	0.15252	1865	0.14412	1722	0.14622	1595	0.14078	2.65304E-134	0.12649	3.91343E-125	-0.05165	1.59798E-90
