output_prefix	name	motif_id	cluster	total_tfbs	uninf_mean_score	uninf_bound	red_mean_score	red_bound	gfp_mean_score	gfp_bound	uninf_red_change	uninf_red_pvalue	uninf_gfp_change	uninf_gfp_pvalue	red_gfp_change	red_gfp_pvalue
FOXN3_MA1489.1	FOXN3	MA1489.1	C_FOXN3	25364	0.15863	2206	0.14942	2077	0.15084	1906	0.16558	1.02539E-139	0.14807	4.46476E-134	-0.05986	2.01944E-97
FOXD2_MA0847.2	FOXD2	MA0847.2	C_FOXC2	35533	0.15688	2942	0.14792	2839	0.14999	2610	0.16538	3.43618E-146	0.1522	6.63394E-146	-0.05709	5.78359E-105
FOXH1_MA0479.1	FOXH1	MA0479.1	C_FOXH1	24551	0.18245	2736	0.17787	2727	0.17378	2409	0.08226	2.01939E-112	0.1508	1.68688E-137	0.01956	5.47059E-54
FOXC2_MA0846.1	FOXC2	MA0846.1	C_FOXC2	49272	0.14932	3692	0.13881	3506	0.14234	3156	0.19256	3.63472E-155	0.14825	3.62258E-144	-0.08508	1.46765E-120
FOXP1_MA0481.3	FOXP1	MA0481.3	C_FOXP3	29291	0.17002	2924	0.16245	2825	0.16111	2503	0.14039	6.48308E-136	0.17405	4.16779E-145	-0.01901	3.26297E-53
MEF2A_MA0052.4	MEF2A	MA0052.4	C_MEF2A	58522	0.14014	3859	0.12794	3479	0.13496	3278	0.20646	4.26015E-162	0.1135	2.91976E-134	-0.12207	7.00089E-140
FOXA1_MA0148.3	FOXA1	MA0148.3	C_FOXA1	37393	0.16656	3498	0.15923	3463	0.15912	3072	0.13569	1.49215E-138	0.16006	3.60902E-141	-0.02389	8.64695E-64
STAT1_MA0137.3	STAT1	MA0137.3	C_STAT1	35141	0.21001	4986	0.20259	4866	0.20456	4693	0.09671	4.41313E-123	0.10697	2.01180E-130	-0.0232	5.95610E-65
RUNX2_MA0511.1	RUNX2	MA0511.1	C_RUNX2	51769	0.22017	8210	0.21871	8115	0.21684	7778	0.01192	8.25895E-50	0.10348	4.28652E-137	0.05451	9.38554E-112
FOXO4_MA0848.1	FOXO4	MA0848.1	C_FOXP3	12019	0.19728	1571	0.19306	1547	0.18825	1372	0.07258	6.16441E-92	0.17759	1.95905E-130	0.0459	3.60262E-66
NFATC3_MA0625.1	NFATC3	MA0625.1	C_NFATC3	33199	0.1768	3587	0.16929	3428	0.17096	3229	0.12189	2.48699E-134	0.11719	7.67095E-131	-0.04119	1.31608E-87
FOXB1_MA0845.1	FOXB1	MA0845.1	C_FOXC2	34941	0.14791	2544	0.13889	2469	0.13996	2132	0.17468	3.04881E-150	0.16318	3.02748E-146	-0.05823	2.43548E-101
MAFF_MA0495.3	MAFF	MA0495.3	C_MAFF	35920	0.18951	4410	0.18629	4427	0.17955	3843	0.0878	5.29662E-117	0.19557	1.10992E-154	0.0456	3.83511E-89
CEBPB_MA0466.1	CEBPB	MA0466.1	C_CEBPE	28529	0.19146	3545	0.18802	3544	0.18302	3158	0.09014	6.42549E-117	0.16234	1.53220E-137	0.02037	7.82148E-55
FOXA2_MA0047.3	FOXA2	MA0047.3	C_FOXP3	27260	0.1705	2711	0.16363	2636	0.16137	2316	0.12158	3.22503E-130	0.17286	2.25945E-145	-0.00275	9.12485E-04
FOXK2_MA1103.2	FOXK2	MA1103.2	C_FOXP3	27375	0.17394	2876	0.16675	2783	0.16529	2474	0.12761	3.76330E-134	0.16817	4.94432E-146	-0.01088	1.99933E-32
IRF9_MA0653.1	IRF9	MA0653.1	C_IRF1	22858	0.19471	2889	0.18771	2769	0.19197	2732	0.13183	6.13116E-129	0.0748	1.65012E-102	-0.07785	3.55650E-106
CEBPA_MA0102.3	CEBPA	MA0102.3	C_CEBPE	27552	0.19217	3441	0.18924	3484	0.18344	3052	0.09689	3.12121E-114	0.17111	2.05628E-138	0.0204	4.82443E-51
CEBPD_MA0836.2	CEBPD	MA0836.2	C_CEBPE	22725	0.19021	2771	0.1879	2793	0.18298	2505	0.08512	6.15087E-104	0.14764	1.87988E-127	0.01542	1.17514E-35
FOXK2_MA1103.1	FOXK2	MA1103.1	C_FOXP3	26907	0.17534	2874	0.16798	2771	0.16684	2480	0.13162	6.96665E-130	0.16871	1.62090E-140	-0.01426	1.38704E-38
CEBPA_MA0102.4	CEBPA	MA0102.4	C_CEBPE	25599	0.18024	2881	0.17681	2869	0.17178	2535	0.10344	2.33695E-123	0.16843	2.85631E-136	0.01213	3.00882E-37
IRF6_MA1509.1	IRF6	MA1509.1	C_IRF6	6165	0.26357	1264	0.25644	1205	0.26569	1242	0.08532	1.76333E-83	-0.02386	1.68809E-37	-0.09957	5.61396E-92
CEBPG_MA0838.1	CEBPG	MA0838.1	C_CEBPE	7645	0.24866	1412	0.24671	1442	0.24395	1341	0.068	1.92067E-80	0.1229	1.22965E-105	0.01564	1.13541E-24
